preco_maximo,preco_minimo,variacao_bid,variacao_pct,preco_compra,preco_venda,data_hora,moeda,data_ingestao,origem_arquivo
11453.6,10355.9,232.29,2.114,11218.6,11219.8,11/03/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
12586.6,10679.4,-872.84,-7.372,10978.8,10984.3,10/03/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
12915.3,11648.6,-1040.45,-8.087,11824.4,11827.1,09/03/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
13041.3,12287.4,382.36,3.063,12863.8,12864.9,08/03/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
13095.0,12235.5,-299.31,-2.344,12477.3,12478.8,07/03/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
13385.9,12612.3,-187.7,-1.449,12766.7,12769.2,06/03/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
13340.3,12590.5,163.2,1.276,12955.8,12959.3,05/03/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
13063.4,11855.8,37.79,0.296,12783.4,12792.4,04/03/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
14946.7,12449.7,-2156.94,-14.459,12757.3,12760.5,03/03/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
15090.0,12907.1,1782.58,13.571,14913.4,14918.0,02/03/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
13534.4,12737.2,-104.73,-0.79,13130.7,13134.7,01/03/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
13540.7,12203.8,-256.11,-1.896,13248.9,13252.7,28/02/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
13882.3,13050.1,-124.62,-0.914,13499.8,13502.6,27/02/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
14457.6,13130.0,-819.05,-5.677,13618.0,13619.4,26/02/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
14682.7,13465.3,-166.58,-1.142,14414.1,14426.0,25/02/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
16319.7,14321.0,-1637.8,-10.107,14558.7,14565.0,24/02/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
16398.2,15812.6,299.61,1.88,16190.7,16227.0,23/02/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
16106.8,15255.0,604.38,3.95,15889.4,15920.0,22/02/2025 23:58,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
16284.8,15038.7,-348.9,-2.23,15285.4,15319.8,21/02/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
