code,codein,name,high,low,varBid,pctChange,bid,ask,timestamp,create_date,moeda
,,,16809.8,15245.3,-928.95,-5.54,15808,15850.9,1738713544,,ETH
,,,16995.6,12821.5,-193.99,-1.14,16745.8,16782.8,1738627193,,ETH
,,,18638.9,16311.8,-1431.7,-7.79,16922.2,16961.5,1738540753,,ETH
,,,19521.5,18275.9,-916.43,-4.75,18360.8,18402.3,1738454342,,ETH
,,,20088.4,18813.3,289.59,1.52,19288.9,19333.3,1738367991,,ETH
,,,19375,18000,885.79,4.89,19000,19029.2,1738281570,,ETH
,,,18634.1,18000,27.76,0.15,18103.5,18140.5,1738195141,,ETH
,,,19079.8,17910.9,-735.81,-3.91,18070,18108.1,1738108748,,ETH
,,,19415.5,18038,-458.83,-2.38,18787.8,18827.1,1738022347,,ETH
,,,19889.3,19255.3,-367.32,-1.87,19260.9,19303.2,1737935936,,ETH
,,,19914.1,19351.8,44.89,0.23,19631.9,19669.4,1737849581,,ETH
,,,20276.7,19406,-200.06,-1.01,19594.5,19633.3,1737763181,,ETH
,,,19868.9,19006.8,461.58,2.38,19803.7,19851.8,1737676750,,ETH
,,,20326.6,19295,-774.15,-3.85,19328.8,19375.8,1737590370,,ETH
,,,20333.3,19464.8,263.2,1.33,20096.3,20154.9,1737503951,,ETH
,,,20932.1,19326.9,104.23,0.53,19832,19884.7,1737417570,,ETH
,,,21129.8,19188.6,-502.18,-2.48,19704.4,19752.8,1737331161,,ETH
,,,21201.9,19652.2,-835.74,-3.97,20203.6,20244.4,1737244771,,ETH
,,,21393.3,19868.4,1176.95,5.92,21039,21084.9,1737158240,,ETH
,,,20760.2,19703.3,-768.09,-3.72,19865.4,19907.8,1737071930,,ETH
,,,20968.3,19303.3,1100.05,5.62,20655.2,20701,1736985590,,ETH
,,,19775.9,19056,388.46,2.03,19519.5,19563.1,1736899149,,ETH
,,,20350,18058,-817.3,-4.09,19124.5,19169.2,1736812750,,ETH
,,,20248.2,19771.4,-216.81,-1.07,19949.2,19990.9,1736726379,,ETH
,,,20383.8,19775.5,124.87,0.62,20162.7,20202.7,1736639997,,ETH
,,,20286.2,19538.7,503.41,2.57,20046.2,20087.9,1736553549,,ETH
,,,20660.8,19157.7,-894.47,-4.37,19546.2,19590.7,1736467149,,ETH
,,,21028.9,19800,-307.75,-1.48,20450.1,20486.6,1736380778,,ETH
,,,22601.5,20630.6,-1708.98,-7.6,20750.9,20793,1736294364,,ETH
,,,22925.2,22205.4,-110.78,-0.49,22462.4,22482.1,1736207948,,ETH
,,,22766,22312.8,-104.58,-0.46,22561.8,22606.7,1736121558,,ETH
,,,22766,22112.8,354.42,1.59,22663.2,22710.3,1736035173,,ETH
,,,22500,21163.7,981.46,4.6,22308,22352.3,1735948769,,ETH
,,,21834.2,20868.4,437.7,2.09,21325.9,21376.4,1735862382,,ETH
,,,21046.8,20642,117.07,0.56,20885.5,20932.1,1735775958,,ETH
,,,21478.9,20626.6,-46.37,-0.22,20782,20830.4,1735689558,,ETH
,,,21400,20549.1,-42.21,-0.2,20865,20915.1,1735603181,,ETH
,,,21282.3,20752.2,-295.68,-1.39,20897,20945.4,1735516780,,ETH
,,,21337.9,20720.5,429.95,2.07,21198,21245.3,1735430379,,ETH
,,,21380.4,20587,94.65,0.46,20766.2,20812.3,1735343948,,ETH
,,,21954.4,20550,-1157.2,-5.29,20677.6,20721.6,1735257547,,ETH
,,,22100,21501.3,20.41,0.09,21811.6,21863.5,1735171153,,ETH
,,,22085.4,20917.6,514.12,2.41,21795.5,21850.2,1735084742,,ETH
,,,21580.9,19848.5,1079.23,5.34,21280.2,21324.5,1734998347,,ETH
,,,20921.6,19879.4,-305.4,-1.49,20186.7,20231.3,1734911998,,ETH
,,,21863.8,20244.2,-806.69,-3.78,20503.5,20554.5,1734825547,,ETH
,,,21505,19219.4,191.27,0.9,21328.1,21384.8,1734739180,,ETH
,,,23588.4,20606.7,-1760.84,-7.67,21170.2,21196.8,1734652798,,ETH
,,,24343.8,22900,-992.05,-4.15,22912.8,22960,1734566348,,ETH
,,,24853.5,23647.9,-524.89,-2.15,23844.7,23904,1734479953,,ETH
,,,25000,23540.1,333.04,1.39,24382.4,24435,1734393548,,ETH
,,,24096.1,23361.9,447.5,1.9,23999.4,24052.9,1734307172,,ETH
,,,23841.2,23317.2,-80.32,-0.34,23554.4,23603.2,1734220737,,ETH
,,,24000,23245.2,241.9,1.03,23658.2,23706.4,1734134356,,ETH
,,,23985.7,22767.5,452.17,1.97,23415.3,23469.8,1734047937,,ETH
,,,23217.1,21703.6,866.82,3.92,22969.8,23018.2,1733961589,,ETH
,,,23238.1,21500,-695.6,-3.05,22103.3,22153.2,1733875156,,ETH
LTC,BRL,Litecoin/Real Brasileiro,500.1,487.4,-2.6,-0.52,497,497.1,1749401190,2025-06-08 13:46:30,LTC
,,,501.9,487.1,6.6,1.345,497.1,497.2,1749340774,,LTC
,,,491.8,467.9,19.6,4.163,490.4,490.5,1749254359,,LTC
,,,504.4,459.9,-28,-5.621,469.9,470,1749167973,,LTC
,,,515.5,495.1,-9.4,-1.852,498,498.2,1749081587,,LTC
,,,515.3,502.8,-2.5,-0.49,507.3,507.4,1748995164,,LTC
,,,516.9,500.2,2,0.394,509.8,509.9,1748908752,,LTC
,,,510.5,495.4,5.6,1.115,508.1,508.2,1748822378,,LTC
,,,507.8,481.6,7.3,1.474,501.9,502.1,1748735963,,LTC
,,,535.3,490.3,-37.6,-7.07,494.2,494.6,1748649557,,LTC
,,,563.5,530.3,-12.5,-2.295,532,532.2,1748563187,,LTC
,,,553.2,534,-1,-0.183,544.6,544.7,1748476790,,LTC
,,,551.1,532.3,3.3,0.608,545.7,545.8,1748390317,,LTC
,,,555,538.2,-2.7,-0.495,542.4,542.5,1748303975,,LTC
,,,546.8,531,0.5,0.092,544.4,545,1748217582,,LTC
,,,556.7,540.7,1.9,0.35,544.4,544.5,1748131176,,LTC
,,,583.2,539.8,-28.8,-5.04,542.5,542.6,1748044776,,LTC
,,,576.1,549.8,21.6,3.927,570,571,1747958384,,LTC
,,,557,523.7,15.6,2.921,549.3,549.6,1747871976,,LTC
,,,562.4,524.1,-20.6,-3.702,535.8,536.5,1747785572,,LTC
,,,574.9,538.1,-16.8,-2.93,556.3,557.1,1747699188,,LTC
,,,583.7,548.5,24.7,4.502,572.3,573.3,1747612755,,LTC
,,,576.8,546.8,-20.7,-3.632,548.3,548.9,1747526360,,LTC
,,,580.7,561.1,1,0.177,566.3,566.9,1747439954,,LTC
,,,576.5,539.9,-5.9,-1.034,565.6,565.8,1747353585,,LTC
,,,595,555.7,-11.1,-1.908,571,571.3,1747267195,,LTC
,,,595,563.1,-7.7,-1.303,581.8,582.1,1747180791,,LTC
,,,596.6,563.1,22.5,3.952,591.2,591.8,1747094377,,LTC
,,,603.8,560.5,-30.5,-5.088,569.5,571,1747007963,,LTC
,,,607.6,571.4,28.1,4.918,599.6,599.9,1746921594,,LTC
,,,575.9,535.4,30.7,5.68,571.7,572,1746835162,,LTC
,,,541.4,514.9,24.5,4.758,539.8,540.1,1746748757,,LTC
,,,535.7,503,-9.4,-1.794,515.2,515.4,1746662361,,LTC
,,,530,462.8,51.3,10.811,523.4,524.2,1746575963,,LTC
,,,508.4,468.9,-9.6,-1.983,474.4,474.7,1746489557,,LTC
,,,507.8,494.8,-6,-1.197,494.5,494.7,1746255653,,LTC
,,,517.5,496,-6.8,-1.341,500.1,500.3,1746230385,,LTC
,,,518.1,475.7,30.6,6.431,506.2,506.4,1746143962,,LTC
,,,489.3,464.1,-8.1,-1.673,476.2,476.4,1746057582,,LTC
,,,493.4,478.3,-3.1,-0.637,483.7,483.9,1745971195,,LTC
,,,501.9,478.6,-3.4,-0.695,486.2,486.4,1745884766,,LTC
,,,501.3,484.9,-9.9,-1.98,488.7,489.3,1745798350,,LTC
,,,504.2,489.4,3.5,0.708,498.4,498.5,1745711975,,LTC
,,,498.2,473.3,12.6,2.62,493.1,493.9,1745625560,,LTC
,,,482.7,462.5,2.6,0.543,481.1,481.3,1745539154,,LTC
,,,488,471.1,-1.8,-0.375,477.8,478.5,1745452789,,LTC
,,,485.9,450.8,24.8,5.453,479.4,479.6,1745366395,,LTC
,,,476.1,452.3,0.3,0.066,455.6,456,1745279992,,LTC
,,,460,442.4,8.5,1.901,455.8,456.1,1745193568,,LTC
,,,449.5,437,1.9,0.426,447,447.1,1745107166,,LTC
,,,451.3,435.8,8.3,1.898,445.1,445.8,1745020777,,LTC
,,,445.7,435,-0.7,-0.16,436.6,436.9,1744934354,,LTC
,,,451,432.1,-6.8,-1.53,437,437.6,1744847938,,LTC
,,,462.4,441.9,-9.7,-2.137,443.8,444.4,1744761582,,LTC
,,,473.9,447.1,-6.4,-1.392,453.6,454,1744675183,,LTC
,,,471.9,451.6,-3.9,-0.842,459.3,459.6,1744588776,,LTC
,,,473,443.1,14.2,3.161,463.2,463.4,1744502379,,LTC
,,,454.9,436.2,13.6,3.118,449.1,449.4,1744415972,,LTC
,,,445.1,423.8,-8.6,-1.934,435.9,436.5,1744329553,,LTC
,,,463,401.8,27.1,6.488,444.3,444.7,1744243185,,LTC
,,,433.1,410,-6.1,-1.446,416.8,417.2,1744156741,,LTC
,,,429.8,372,5.5,1.321,422.4,422.7,1744070337,,LTC
,,,488.5,404.6,-69.1,-14.239,415.9,416.4,1743983995,,LTC
,,,499,481,-7.3,-1.48,486.4,486.6,1743897561,,LTC
,,,495.6,463.6,26.3,5.62,495.7,496.2,1743802754,,LTC
,,,482,452.2,6.8,1.46,472.1,472.4,1743724744,,LTC
,,,502.2,462,-13.4,-2.796,465,465.4,1743638391,,LTC
